datasheet_link,target_col,content,datasheet_link_processed,link_num_char,num_link_words,num_link_sent,content_num_char,num_content_words,num_content_sent,transformed_text,transformed_link
https://lfillumination.com/files/specsheets/EF408B-Light-Unit.pdf,lighting,| ILLUMINATION     Magnate Moun                  Freten tock 2804 ey 75109) 90 190 oa ttn Fretan Lace         F408         Ordering Example: EF408B-13C-8027-W-DMU-BB     EF400 System # EF408B DIE CAST CYLINDRICAL LIGHT UNIT Bm Eo Specifications        e si ese aa Thascngatiscre [CREE@! {rec wake ValuDIM   Applicaton View fete onc Ae ws TEA        ,lfillumination.com files specsheets EF408B-Light-Unit.pdf,65,3,1,350,53,2,illumin magnat moun freten tock 2804 ey 75109 90 190 oa ttn fretan lace f408 order exampl ef400 system ef408b die cast cylindr light unit bm eo specif e si ese aa thascngatiscr cree rec wake valudim applicaton view fete onc ae ws tea,file specsheet
https://lfillumination.com/files/specsheets/EF407B-Light-Unit.pdf,lighting,"| EF400 System # EF407B . DIE CAST CYLINDRICAL LIGHT UNIT ILLUMINATION SMALL | mRi6 | EF4B | Seomaaieeeneess Specifications Nhe 125 Raion                  Cea, (ger Fiction Lock . sroTuGHT &/ @ 5 \ ease & noel  Mognec een Noms pS  1: 100 Raton } \S Fret Lock |          90"" x90"" wasets Head fctaton Sutter dar aon Friction Lack           ~_Appiction View ahem ont   MAGNETIC MOUNT SEL HERE FR NORE MO:  master        4078   Ordering Example: EF407B-050MR16X-ET-1-BB         ",lfillumination.com files specsheets EF407B-Light-Unit.pdf,65,3,1,475,82,3,ef400 system ef407b die cast cylindr light unit illumin small mri6 ef4b seomaaieeeneess specif nhe 125 raion cea ger fiction lock srotught 5 eas noel mognec een nom ps 1 100 raton fret lock 90 x90 waset head fctaton sutter dar aon friction lack view ahem ont magnet mount sel fr nore mo master 4078 order exampl,file specsheet
https://www.waclighting.com/storage/waclighting-images/specsheet_pdf/5221_SPSHT.pdf,lighting,"ADJUSTABLE BEAM WALL WASH 12V 5221 vba alight ns se etc apa ctgig nec easton Aor pont glean      5221   ort sngen 1080   it Srge h3022 WAC LANDSCAPE LIGHTING    Fxture Type       Catalog Number:   Project: Location igh: ole tim   ac igang monte ght onesie eign our peact tony tme apa conpan/ceomuauimpeemenpogiam, 1221/9                ""ison NEMA 6x5, NEMA 5x4 NEMA 4x3, amo NEMA 6x5 NEMA 5x4 NEMA 4x3, sconigcon edguteitnemoiatn eterna Dton Cntr Wa ttn ater fae elses erg W180 iSpnge en 5022 mane 3100 Ac ugtang monte oh ones te gn ou pact tony te aspartate congan/scetmucs impor pogian. (21/9  LANDSCAPE Le LANDSCAPE ADJUSTABLE BEAM WALL WASH PHOTOMETRICS, g)/3.2/3 325   nt ftuning ise tet  ntl fing is tet                                                         vlog icergeen : % . HO % a                plating ics ra tows   Accessories          Magnetic Transformers        Prone worse Toachesl ee fae elses Wc itn tons ght  ",storage waclighting-images specsheet_pdf 5221_SPSHT.pdf,83,3,1,935,153,3,adjust beam wall wash 12v 5221 vba alight ns se etc apa ctgig nec easton aor pont glean 5221 ort sngen 1080 srge h3022 wac landscap light fxture type catalog number project locat igh ole tim ac igang mont ght onesi eign peact toni tme apa ison nema 6x5 nema 5x4 nema 4x3 amo nema 6x5 nema 5x4 nema 4x3 sconigcon edguteitnemoiatn eterna dton cntr wa ttn ater fae els erg w180 ispng en 5022 mane 3100 ac ugtang mont oh one te gn ou pact toni te aspart impor pogian landscap le landscap adjust beam wall wash photometr g 325 nt ftune ise tet ntl fing tet vlog icergeen ho plate ic ra tow accessori magnet transform prone wors toachesl ee fae els wc itn ton ght,storag
https://www.acuitybrands.com/api/products/getasset/healthcare-lighting/1626980/677116f7-4592-4516-9d8c-eae892e07331/hdmc.pdf?abl_version=02%2f23%2f2023+18%3a13%3a41&DOC_Type=SPEC_SHEET,lighting,"HEALTHCARE mons Wa LIGHTING. | HDMC Surface Mount with FAR-UVC Filtered Projet 2onm Disinfection Technology      HIGHLIGHTS   COMPANION UNITS) be u be eee     HEALTHCARE | HDMG we    ree WA UGHTING. | scrote Mount wth FAR-UVC Fitered Sebi Danfacton Fosmoloay canoounen canes =                      HEALTHCARE | HDMG WA UGHTING. | scrote Mount wth FAR-UVC Fitered 222nm Disinfection Technology  ype Project   SPECIFICATIONS   Shemrrerareeamee ae     ftom 1751259 [643n 508 pg en em eZ ho Wine ese TBR amnone noe ir ee ne Reresreanamaro cisco Fre ems tba Sealers teagan Seitthantysnsroeo see oma  Soar SSeeneaiesS Senet    ay me FORCES eso)   Fohcee cho: tam   wee @hragrars nts coin fc eo Eerie sea ein    + rps sam adams (Peyote tera conan an en ue ne eto Met ancy ang ean   Siena se nepeay wen pis   reamed nang an nr ie IE PERG HOR    HEALTHCARE ee Wa LIGHTING. | HDMC rors Surface Mount with FAR-UVC Filtered -22nm Disinfection Technology     PROGRAMMING OPTION SELECTION opto era eich ne Werte acon ep our hin tec pate ena Pt ee tent eect gory Seen oc Example HOMC 9LONG CJ mrt ng) at programming option hod seen ny cing height and Meutng option iat) sone GiB = = sist Cee clas Cee Mase mung   Ping rte 2   cis Rian 0 DIs2 CBS  choese 228 abac mesttlane A 8a ,   Erinn Fortis example, Choose D108 Option fei Estab ea ate ops   Prcjocid UV Eipooun anc posure Lira (fovea Womens ears pegs ete nce yt ea aoe Temalar i pe a bg estan eer tl cape tbe ea el gine ae ita Pr FT = SERIE Shem taateey cane SSR emmwtmquse nto se eri hi (UF apts ze Tea eile eee noe phy tha ca cach yb tre nt ears Sc gs Bag gar a wa ah          Seanad aarp an agi Roe RE RT     HEALTHCARE te Wa LIGHTING. HDMG Prop Surface Mount with FAR-UVC Filtered 222nm Disinfection Technology             Projected Vs action comin | Sipe, emmy | exrmon | Sipe,                                    HEALTHCARE | HDMCG ve WA LIGHTING. | grace iount with EaR-UVC Fiteres me 222nm Disinfection Technology (URS Ne etn etc de a te tigi 2h ee eal sven. stactig be pags tes on nin he aa apo ei Stumned al Vou gg etna ene os Sd ened ny ena eres macht fiense pcp The ana amen al hrs pe ems {Ae ed Ps yess er oe tf cg a ee ye cna aly bend ging Sect 1 Ten poets a edu 230215 peg faeeceaanads eSK _ Recent ne Ste ici etry gente ee ses oreo te eae a ees, Sansone                                              reamed nang an nr ie IE PERG HOR eee te eS am   HEALTHCARE WA LIGHTING, HDMG ve Projet Surface Mount with FAR-UVC Filtered 22nm Disinfection Technology    Projected Photodegradation fect   Suaprocstay stamina eect sue cai rae tna  thay nied eho a tv eee cy png tere  Sema negates hoe eee arb eerste So ceney oar op  ena ech ie eee Mn hc ed 2 haat mp te iy ean at ac re Ss i a ec 2 ceptions ney te Ss ay kn 25 a                         EEE 7orccovomorrema ncaa mua ee = anes 2 [as oo "" ej 7 bp a ee wo sear oa ws Dane ms ee ce wo Bee mw mee ial Poorman aa s BL . a       reader ip an eg RoE HE BRT     HEALTHCARE. HDMC ~ WALIGHTING. | rca oun nar oye pases TM                n Disinfection Technology PROJECTED PHOTODEGRADATON EFFECT CONTINUED) Independent bet Rest or eteriingPotodegradaton eter PHOTODEGRADATION TESTING RESULTS"" Far WVCFiteed222nm tecnelogy (are222) Poaigacnsecacsawsie) Thebes camped aint itealm = usu anda alte of W egoureat 4000. man mee] mm me Deere | tow |e sora -* AE isabenchmark wed to measure color difference compared to aknown set of iBall be ert meson Raita cana ws (Gl Tehsil eet a cle yh O76 fol 6h Cts esa ee feat Af OAB oie ab ~ Pesta tae Dime we 7  -*** Durometer Hardness is abenchmarkof material hardness, as measured bya Shore sont ge al pee iene mse ice othe pie ee rhe myth ate nore  ' tested there was no or any a very smal change in Durometer Hardness. varnished Calan ede hg: Duet ies Plodegdstn fect Genel nition Phtadeadton tea mre ie Twanpae etude ase a phoudegaton asl tye rin wi alc pode fda 2 va wa halen ah ~23}naspeningedy ove gt Some an ee ated emit ale inten wows areseagpabe ptdeodtaf mae ity neal Issuer nade, hae gen etal, UL Nhiese aces ependng onc etn tery, seam @ | se wa anc sin hottest eon pend = e@ ceases estes pedal general tii hte felt eel 22mm egy Cae) nde om whet hese, * SRP 30.20 ecard cc: ging Neus ae 2    svete rQ ows   Sneaons     HEALTHCARE | HDMC vs                WA LIGHTING. | ssrtce tount with FAR-UVC Fitered = 222nm Disinfection Technology ins i 1 i ) de cle ka                              HEALTHCARE Wa LIGHTING. HDMC re Projet   Surface Mount with FAR-UVC Filtered 222nm Disinfection Technology ACCESSORIES Ao l 2 OO    99 OC       OPT ew ome fans (eT T+} ese roan        HEALTHCARE ee Wa LIGHTING | HDMC roe ACCESSORIES face Mount with FAR-UVC Filtered mm Disinfection Technology      oye ea 4018 squre cent (oss rons ates     eee rey sveiuan suzfan (C-)) ayoempne scan pe ~ 498 camarek ee stn od INDICATOR DATA,   UV Module (shown herein the activestate) tus Indicator LED States Normal operation Approximately 6 months left in lamp life Cycle powerto clear error    @ Replace lamp module immediately, Status Indicator LED module will longer activate     ",api products getasset healthcare-lighting 1626980 677116f7-4592-4516-9d8c-eae892e07331 hdmc.pdf?abl_version=02%2f23%2f2023+18%3a13%3a41&DOC_Type=SPEC_SHEET,184,15,1,5106,973,14,healthcar mon wa light hdmc surfac mount filter projet 2onm disinfect technolog highlight companion unit u eee healthcar hdmg ree wa ught scrote mount wth fiter sebi danfacton fosmoloay canoounen cane healthcar hdmg wa ught scrote mount wth fiter 222nm disinfect technolog ype project specif shemrrerareeame ae ftom 1751259 643n 508 pg en em ez ho wine ese tbr amnon noe ir ee ne reresreanamaro cisco fre em tba sealer teagan seitthantysnsroeo see oma soar sseeneaiess senet ay forc eso fohce cho tam wee hragrar nt coin fc eo eeri sea ein rp sam adam peyot tera conan en ue ne eto met anci ang ean siena se nepeay wen pi ream nang nr ie ie perg hor healthcar ee wa light hdmc ror surfac mount filter disinfect technolog program option select opto era eich ne wert acon ep hin tec pate ena pt ee tent eect gori seen oc exampl homc 9long cj mrt ng program option hod seen ny cing height meutng option iat sone gib sist cee cla cee mase mung ping rte 2 ci rian 0 dis2 cb choes 228 abac mesttlan 8a erinn forti exampl choos d108 option fei estab ea ate op prcjocid uv eipooun anc posur lira fovea women ear peg ete nce yt ea aoe temalar pe bg estan eer tl cape tbe ea el gine ae ita pr ft seri shem taateey cane ssr emmwtmqus nto se eri hi uf apt ze tea eil eee noe phi tha ca cach yb tre nt ear sc gs bag gar wa ah seanad aarp agi roe rt healthcar te wa light hdmg prop surfac mount filter 222nm disinfect technolog project vs action comin sipe emmi exrmon sipe healthcar hdmcg wa light grace iount fiter 222nm disinfect technolog ur ne etn etc de te tigi 2h ee eal sven stactig pag te nin aa apo ei stumn al vou gg etna ene os sd ene ny ena ere macht fiens pcp ana amen al hr pe em ae ed ps yess er oe tf cg ee ye cna ali bend ging sect 1 ten poet edu 230215 peg faeeceaanad esk recent ne ste ici etri gent ee se oreo te eae ee sanson ream nang nr ie ie perg hor eee te es healthcar wa light hdmg projet surfac mount filter 22nm disinfect technolog project photodegrad fect suaprocstay stamina eect sue cai rae tna thay nie eho tv eee cy png tere sema negat hoe eee arb eerst ceney oar op ena ech ie eee mn hc ed 2 haat mp te iy ean ac ss ec 2 ception ney te ss ay kn 25 eee 7orccovomorrema ncaa mua ee ane 2 oo ej 7 bp ee wo sear oa ws dane ms ee ce wo bee mw mee ial poorman aa bl reader ip eg roe brt healthcar hdmc walight rca oun nar oye pase tm n disinfect technolog project photodegradaton effect continu independ bet rest eteriingpotodegradaton eter photodegrad test result far wvcfiteed222nm tecnelog are222 poaigacnsecacsawsi thebe camp aint itealm usu anda alt w egoureat man mee mm deer tow sora ae isabenchmark wed measur color differ compar aknown set ibal ert meson raita cana ws gl tehsil eet cle yh o76 fol 6h ct esa ee feat af oab oie ab pesta tae dime 7 duromet hard abenchmarkof materi hard measur bya shore sont ge al pee ien mse ice oth pie ee rhe myth ate nore test smal chang duromet hard varnish calan ede hg duet i plodegdstn fect genel nition phtadeadton tea mre ie twanpa etud ase phoudegaton asl tye rin wi alc pode fda 2 va wa halen ah naspeningedi ove gt ee ate emit ale inten wow areseagpab ptdeodtaf mae iti neal issuer nade hae gen etal ul nhies ace ependng onc etn teri seam se wa anc sin hottest eon pend e ceas est pedal gener tii hte felt eel 22mm egi cae nde om whet hese srp ecard cc ging neu ae 2 svete rq ow sneaon healthcar hdmc vs wa light ssrtce tount fiter 222nm disinfect technolog in 1 de cle ka healthcar wa light hdmc projet surfac mount filter 222nm disinfect technolog accessori ao l 2 oo 99 oc opt ew ome fan et ese roan healthcar ee wa light hdmc roe accessori face mount filter mm disinfect technolog oye ea 4018 squre cent oss ron ate eee rey sveiuan suzfan ayoempn scan pe 498 camarek ee stn od indic data uv modul shown herein activest tu indic led state normal oper approxim 6 month left lamp life cycl powerto clear error replac lamp modul immedi statu indic led modul longer activ,api product getasset 1626980 2f23 3a13 3a41
https://lfillumination.com/files/specsheets/KATRPB-Pendant.pdf,lighting,"iF KATRPB CYLINDER PENDANT MOUNT ILLUMINATION INTEGRAL DRIVER | SMALL Specifications +0500"" tan + 4 9 Bacty ote   4}: Cena ove 6-0"" Adusatle Bonetti a usp sounce 7 Paste a OnE | Boner Si Mei ventaton paso coded ara ru Aumioun Di etn box ois. 1 Saco canny wth aati cal sar ag, 2ar  + 1 Sain Ae mr +0276"" (70)-+ CY                  Ordering Example: KATRPB-08C-9230-X-D1-1-BB.    ",lfillumination.com files specsheets KATRPB-Pendant.pdf,62,3,1,379,77,2,katrpb cylind pendant mount illumin integr driver small specif tan 4 9 bacti ote 4 cena ove adusatl bonetti usp sounc 7 past one boner si mei ventaton paso code ara ru aumioun di etn box oi 1 saco canni wth aati cal sar ag 2ar 1 sain ae mr 70 cy order exampl,file specsheet
https://lfillumination.com/files/specsheets/JULRPB-Pendant.pdf,lighting,"iA JULRPB CYLINDER PENDANT MOUNT ILLUMINATION INTEGRAL DRIVER | SMALL $500"" 2  +4 as | ests Se | See secre, . erate Specifications Cae cto | Pome m3 a, Qe Casa : i coe Fy cies 7                   Ordering Example: JULRPB-13C-8030-M-DMU-BB   ",lfillumination.com files specsheets JULRPB-Pendant.pdf,62,3,1,242,45,2,ia julrpb cylind pendant mount illumin integr driver small 500 2 est se see secr erat specif cae cto pome m3 qe casa coe fy cie 7 order exampl,file specsheet
https://www.focalpointlights.com/sites/default/files/FLCY3__Q.pdf,lighting,"=aEe Le cd            LED Sytem inte      pts                           wl - |= f= |e | wre sonan a ae tnepeoyecet thr nae ima arty pe sua ST we |  irae Seg nant fre Scevtnamsemamint eR ean nt Ds | tate te aban 08) un Waray oe te | am = cheat om     't- Shalow Canopy Intel Dever IM ene one teston    ep ae                                           (a Pr -Pover Cony = Tay PS has ae                                    SC Stall Canopy with decorative box cove Integral Dever      , See P  DPC - Power Carapy with decorative Joe cover             ae |                       Cole Temperature 8 CR oa ome Feansf01 a Optic &Ditibuton ca ome Fear 0)      === ek eno CS {2P0 9 CHE] ero +e rn so aT er: ne HT       ow Yo Use Lumen Muipirs epi FV Oem ANION (ssa 2 ed ed mes   ",sites default files FLCY3__Q.pdf,65,3,1,771,143,1,le cd led sytem int pt wl wre sonan ae tnepeoyecet thr nae ima arti pe sua st ira seg nant fre scevtnamsemamint er ean nt ds tate te aban 08 un waray oe te cheat om shalow canopi intel dever im ene one teston ep ae pr coni tay ps ae sc stall canopi decor box cove integr dever see p dpc power carapi decor joe cover ae cole temperatur 8 cr oa ome feansf01 optic ditibuton ca ome fear 0 ek eno cs 2p0 9 che ero rn er ne ht ow yo use lumen muipir epi fv oem anion ssa 2 ed ed me,site default file
https://www.signify.com/api/assets/v1/file/Signify/content/cbd5621f152243918593ab840107e6c6/D2L.pdf,lighting,"DP A) LIGHTOLIER Peery   Pe cay   ay space withthe Micro Vetro   Compt hina Frame +m or re tr pan) + Itaatn Aceon raqued) =              =                scans pane Q-  D2L Micro Vetro Accessory Round & Square decorative elements for Calculite LED 1.75""                             ",api assets v1 file Signify content cbd5621f152243918593ab840107e6c6 D2L.pdf,99,3,1,284,45,1,dp lightoli peeri pe cay ay space withth micro vetro compt hina frame tr pan itaatn aceon raqu scan pane d2l micro vetro accessori round squar decor element calculit led,api asset v1 file signifi content cbd5621f152243918593ab840107e6c6
https://juno.acuitybrands.com/api/products/getasset/juno/927706/f13a0378-46e9-4980-9e9f-3c308e164fa7/ic1jbpf_4jbldt.pdf?abl_version=08%2f14%2f2022+08%3a12%3a45&DOC_Type=SPEC_SHEET,lighting,"TEEN Juno 4 IC RATED LED NEW CONSTRUCTION   Proje Fieuee Type JUNO RED SERIESTM DOWNLIGHT location FOR INSTALLATION INTO. Cone Phone FIRE RATED CEILING ASSEMBLIES BLj@ IC1JBPF 4JBLDT   PRODUCT DESCRIPTION DIMENSIONS ein bax las tna ang ah im mele ea ane donigh non                     41/4"" SQUARE CELING CUTOUT MAK      mort iitiacln echoes Pcpeees tree incorrect eat)  weropim ceria Te two cone yl de ~ coer hp meta ong INSTALATION _   ter Heong Beton in og Aeuitysrands *    4 IC RATED LED NEW CONSTRUCTION JUNO RED SERIESTM DOWNLIGHT FOR INSTALLATION INTO FIRE RATED CEILING ASSEMBLIES IC1JBPF 4JBLDT   ELECTRICAL DATA         nousne: ng amps CIRO OTE   ca = Vai Be varios 7, 0 se savour sir un de       mm rn tmp 0876 ir ie Dian var nak site Be tig .      @ i iarta tae  SAeuityBrands 325 was darars Lo i  rey 4 IC RATED LED NEW CONSTRUCTION JUNO RED SERIESTM DOWNLIGHT FOR INSTALLATION INTO FIRE RATED CEILING ASSEMBLIES      IC1JBPF 4JBLDT PHOTOMETRICS. Dain Gre  _ isien Date Outpt Die (can tate ince Dt ot 0 Av Fo areal ie       umer orm 120 RPC + AILDT DB, 2709 pt wes: dod mas 7245, L/W =1 a 1200s as WES LL           ",juno.acuitybrands.com api products getasset juno 927706 f13a0378-46e9-4980-9e9f-3c308e164fa7 ic1jbpf_4jbldt.pdf?abl_version=08%2f14%2f2022+08%3a12%3a45&DOC_Type=SPEC_SHEET,179,15,1,1132,206,4,teen juno 4 ic rate led new construct proje fieuee type juno red seriestm downlight locat instal cone phone fire rate ceil assembl blj ic1jbpf 4jbldt product descript dimens ein bax la tna ang ah im mele ea ane donigh non squar cele cutout mak mort iitiacln echo pcpeee tree incorrect eat weropim ceria te two cone yl de coer hp meta ong instal ter heong beton og aeuitysrand 4 ic rate led new construct juno red seriestm downlight instal fire rate ceil assembl ic1jbpf 4jbldt electr data nousn ng amp ciro ote ca vai vario 7 0 se savour sir un de mm rn tmp 0876 ir ie dian var nak site tig iarta tae saeuitybrand 325 darar lo rey 4 ic rate led new construct juno red seriestm downlight instal fire rate ceil assembl ic1jbpf 4jbldt photometr dain gre isien date outpt die tate inc dt ot 0 av fo areal ie umer orm 120 rpc aildt db 2709 pt we dod ma 7245 1200 we,api product getasset juno 927706 2f14 3a12 3a45
https://lithonia.acuitybrands.com/api/products/getasset/lithonia-lighting/933404/0b5845d2-0005-4895-90c2-734a37c509d5/6sl-led-l-spkr.pdf?abl_version=01%2f11%2f2023+19%3a11%3a30&DOC_Type=SPEC_SHEET,lighting,"  OC LTHONIA LIGHTING |=   FEATURES & SPECIFICATIONS EEE peep eda Lee ee ones em yet ny (tomo ethu cence panes pen Senne <TC tamer empathy ees  anny pot em eh sing an, Tllnaiemanat one thw todos {TIC he nen eal Panag cpm de ee pp as         Theo  Oum     iinet nee Seton    {pstnneteueezsne                s eee oe ses CS; Sey mise eo I onetime tame boule PN       ES a Ragoaneettntinn ngage ams    sr ipa Laer tac               wf ston wasn ven     6SL L/SPKR_ 6"" LED Speaker-Less Companion for 6SL Speaker Downlight       QUICK START INSTALLATION GUIDE Sete Ay + - PHOTOMETRICS chic Sint bae       (50 7,30, 500 gt at eens 72 =n 3400 ese na mi  sno 7, 2760,            6SL L/SPKR 6"" LED Speaker-Less Companion for 6SL Speaker Downlight     ADDITIONAL DATA, DIMMING, AND LIGHTING FACTS                                                urna wart ao   ",lithonia.acuitybrands.com api products getasset lithonia-lighting 933404 0b5845d2-0005-4895-90c2-734a37c509d5 6sl-led-l-spkr.pdf?abl_version=01%2f11%2f2023+19%3a11%3a30&DOC_Type=SPEC_SHEET,196,15,1,852,148,1,oc lthonia light featur specif eee peep eda lee ee one em yet ny tomo ethu cenc pane pen senn tc tamer empathi ee anni pot em eh sing tllnaiemanat one thw todo tic nen eal panag cpm de ee pp theo oum iinet nee seton pstnneteueezsn eee oe se cs sey mise eo onetim tame boul pn es ragoaneettntinn ngage am sr ipa laer tac wf ston ven 6sl 6 led companion 6sl speaker downlight quick start instal guid sete ay photometr chic sint bae 50 500 gt een 72 3400 ese na mi sno 7 2760 6sl 6 led companion 6sl speaker downlight addit data dim light fact urna wart ao,api product getasset 933404 2f11 3a11 3a30
