datasheet_link,target_col,content
https://lfillumination.com/files/specsheets/EF408B-Light-Unit.pdf,lighting,| ILLUMINATION     Magnate Moun                  Freten tock 2804 ey 75109) 90 190 oa ttn Fretan Lace         F408         Ordering Example: EF408B-13C-8027-W-DMU-BB     EF400 System # EF408B DIE CAST CYLINDRICAL LIGHT UNIT Bm Eo Specifications        e si ese aa Thascngatiscre [CREE@! {rec wake ValuDIM   Applicaton View fete onc Ae ws TEA        
https://lfillumination.com/files/specsheets/EF411B.PDF,lighting,
https://lfillumination.com/files/specsheets/EF407B-Light-Unit.pdf,lighting,"| EF400 System # EF407B . DIE CAST CYLINDRICAL LIGHT UNIT ILLUMINATION SMALL | mRi6 | EF4B | Seomaaieeeneess Specifications Nhe 125 Raion                  Cea, (ger Fiction Lock . sroTuGHT &/ @ 5 \ ease & noel  Mognec een Noms pS  1: 100 Raton } \S Fret Lock |          90"" x90"" wasets Head fctaton Sutter dar aon Friction Lack           ~_Appiction View ahem ont   MAGNETIC MOUNT SEL HERE FR NORE MO:  master        4078   Ordering Example: EF407B-050MR16X-ET-1-BB         "
https://www.waclighting.com/storage/waclighting-images/specsheet_pdf/5221_SPSHT.pdf,lighting,"ADJUSTABLE BEAM WALL WASH 12V 5221 vba alight ns se etc apa ctgig nec easton Aor pont glean      5221   ort sngen 1080   it Srge h3022 WAC LANDSCAPE LIGHTING    Fxture Type       Catalog Number:   Project: Location igh: ole tim   ac igang monte ght onesie eign our peact tony tme apa conpan/ceomuauimpeemenpogiam, 1221/9                ""ison NEMA 6x5, NEMA 5x4 NEMA 4x3, amo NEMA 6x5 NEMA 5x4 NEMA 4x3, sconigcon edguteitnemoiatn eterna Dton Cntr Wa ttn ater fae elses erg W180 iSpnge en 5022 mane 3100 Ac ugtang monte oh ones te gn ou pact tony te aspartate congan/scetmucs impor pogian. (21/9  LANDSCAPE Le LANDSCAPE ADJUSTABLE BEAM WALL WASH PHOTOMETRICS, g)/3.2/3 325   nt ftuning ise tet  ntl fing is tet                                                         vlog icergeen : % . HO % a                plating ics ra tows   Accessories          Magnetic Transformers        Prone worse Toachesl ee fae elses Wc itn tons ght  "
https://www.acuitybrands.com/api/products/getasset/healthcare-lighting/1626980/677116f7-4592-4516-9d8c-eae892e07331/hdmc.pdf?abl_version=02%2f23%2f2023+18%3a13%3a41&DOC_Type=SPEC_SHEET,lighting,"HEALTHCARE mons Wa LIGHTING. | HDMC Surface Mount with FAR-UVC Filtered Projet 2onm Disinfection Technology      HIGHLIGHTS   COMPANION UNITS) be u be eee     HEALTHCARE | HDMG we    ree WA UGHTING. | scrote Mount wth FAR-UVC Fitered Sebi Danfacton Fosmoloay canoounen canes =                      HEALTHCARE | HDMG WA UGHTING. | scrote Mount wth FAR-UVC Fitered 222nm Disinfection Technology  ype Project   SPECIFICATIONS   Shemrrerareeamee ae     ftom 1751259 [643n 508 pg en em eZ ho Wine ese TBR amnone noe ir ee ne Reresreanamaro cisco Fre ems tba Sealers teagan Seitthantysnsroeo see oma  Soar SSeeneaiesS Senet    ay me FORCES eso)   Fohcee cho: tam   wee @hragrars nts coin fc eo Eerie sea ein    + rps sam adams (Peyote tera conan an en ue ne eto Met ancy ang ean   Siena se nepeay wen pis   reamed nang an nr ie IE PERG HOR    HEALTHCARE ee Wa LIGHTING. | HDMC rors Surface Mount with FAR-UVC Filtered -22nm Disinfection Technology     PROGRAMMING OPTION SELECTION opto era eich ne Werte acon ep our hin tec pate ena Pt ee tent eect gory Seen oc Example HOMC 9LONG CJ mrt ng) at programming option hod seen ny cing height and Meutng option iat) sone GiB = = sist Cee clas Cee Mase mung   Ping rte 2   cis Rian 0 DIs2 CBS  choese 228 abac mesttlane A 8a ,   Erinn Fortis example, Choose D108 Option fei Estab ea ate ops   Prcjocid UV Eipooun anc posure Lira (fovea Womens ears pegs ete nce yt ea aoe Temalar i pe a bg estan eer tl cape tbe ea el gine ae ita Pr FT = SERIE Shem taateey cane SSR emmwtmquse nto se eri hi (UF apts ze Tea eile eee noe phy tha ca cach yb tre nt ears Sc gs Bag gar a wa ah          Seanad aarp an agi Roe RE RT     HEALTHCARE te Wa LIGHTING. HDMG Prop Surface Mount with FAR-UVC Filtered 222nm Disinfection Technology             Projected Vs action comin | Sipe, emmy | exrmon | Sipe,                                    HEALTHCARE | HDMCG ve WA LIGHTING. | grace iount with EaR-UVC Fiteres me 222nm Disinfection Technology (URS Ne etn etc de a te tigi 2h ee eal sven. stactig be pags tes on nin he aa apo ei Stumned al Vou gg etna ene os Sd ened ny ena eres macht fiense pcp The ana amen al hrs pe ems {Ae ed Ps yess er oe tf cg a ee ye cna aly bend ging Sect 1 Ten poets a edu 230215 peg faeeceaanads eSK _ Recent ne Ste ici etry gente ee ses oreo te eae a ees, Sansone                                              reamed nang an nr ie IE PERG HOR eee te eS am   HEALTHCARE WA LIGHTING, HDMG ve Projet Surface Mount with FAR-UVC Filtered 22nm Disinfection Technology    Projected Photodegradation fect   Suaprocstay stamina eect sue cai rae tna  thay nied eho a tv eee cy png tere  Sema negates hoe eee arb eerste So ceney oar op  ena ech ie eee Mn hc ed 2 haat mp te iy ean at ac re Ss i a ec 2 ceptions ney te Ss ay kn 25 a                         EEE 7orccovomorrema ncaa mua ee = anes 2 [as oo "" ej 7 bp a ee wo sear oa ws Dane ms ee ce wo Bee mw mee ial Poorman aa s BL . a       reader ip an eg RoE HE BRT     HEALTHCARE. HDMC ~ WALIGHTING. | rca oun nar oye pases TM                n Disinfection Technology PROJECTED PHOTODEGRADATON EFFECT CONTINUED) Independent bet Rest or eteriingPotodegradaton eter PHOTODEGRADATION TESTING RESULTS"" Far WVCFiteed222nm tecnelogy (are222) Poaigacnsecacsawsie) Thebes camped aint itealm = usu anda alte of W egoureat 4000. man mee] mm me Deere | tow |e sora -* AE isabenchmark wed to measure color difference compared to aknown set of iBall be ert meson Raita cana ws (Gl Tehsil eet a cle yh O76 fol 6h Cts esa ee feat Af OAB oie ab ~ Pesta tae Dime we 7  -*** Durometer Hardness is abenchmarkof material hardness, as measured bya Shore sont ge al pee iene mse ice othe pie ee rhe myth ate nore  ' tested there was no or any a very smal change in Durometer Hardness. varnished Calan ede hg: Duet ies Plodegdstn fect Genel nition Phtadeadton tea mre ie Twanpae etude ase a phoudegaton asl tye rin wi alc pode fda 2 va wa halen ah ~23}naspeningedy ove gt Some an ee ated emit ale inten wows areseagpabe ptdeodtaf mae ity neal Issuer nade, hae gen etal, UL Nhiese aces ependng onc etn tery, seam @ | se wa anc sin hottest eon pend = e@ ceases estes pedal general tii hte felt eel 22mm egy Cae) nde om whet hese, * SRP 30.20 ecard cc: ging Neus ae 2    svete rQ ows   Sneaons     HEALTHCARE | HDMC vs                WA LIGHTING. | ssrtce tount with FAR-UVC Fitered = 222nm Disinfection Technology ins i 1 i ) de cle ka                              HEALTHCARE Wa LIGHTING. HDMC re Projet   Surface Mount with FAR-UVC Filtered 222nm Disinfection Technology ACCESSORIES Ao l 2 OO    99 OC       OPT ew ome fans (eT T+} ese roan        HEALTHCARE ee Wa LIGHTING | HDMC roe ACCESSORIES face Mount with FAR-UVC Filtered mm Disinfection Technology      oye ea 4018 squre cent (oss rons ates     eee rey sveiuan suzfan (C-)) ayoempne scan pe ~ 498 camarek ee stn od INDICATOR DATA,   UV Module (shown herein the activestate) tus Indicator LED States Normal operation Approximately 6 months left in lamp life Cycle powerto clear error    @ Replace lamp module immediately, Status Indicator LED module will longer activate     "
https://www.acuitybrands.com/api/products/getasset/holophane/1649332/4408a251-09be-4b61-813f-177b3ebcf10c/holophane-care222-hldmpc-cylinder-pendant-with-cord.pdf?abl_version=01%2f12%2f2023+16%3a54%3a24&DOC_Type=SPEC_SHEET,lighting,
https://lfillumination.com/files/specsheets/KATRPB-Pendant.pdf,lighting,"iF KATRPB CYLINDER PENDANT MOUNT ILLUMINATION INTEGRAL DRIVER | SMALL Specifications +0500"" tan + 4 9 Bacty ote   4}: Cena ove 6-0"" Adusatle Bonetti a usp sounce 7 Paste a OnE | Boner Si Mei ventaton paso coded ara ru Aumioun Di etn box ois. 1 Saco canny wth aati cal sar ag, 2ar  + 1 Sain Ae mr +0276"" (70)-+ CY                  Ordering Example: KATRPB-08C-9230-X-D1-1-BB.    "
https://lfillumination.com/files/specsheets/JULRPB-Pendant.pdf,lighting,"iA JULRPB CYLINDER PENDANT MOUNT ILLUMINATION INTEGRAL DRIVER | SMALL $500"" 2  +4 as | ests Se | See secre, . erate Specifications Cae cto | Pome m3 a, Qe Casa : i coe Fy cies 7                   Ordering Example: JULRPB-13C-8030-M-DMU-BB   "
https://www.focalpointlights.com/sites/default/files/FLCY3__Q.pdf,lighting,"=aEe Le cd            LED Sytem inte      pts                           wl - |= f= |e | wre sonan a ae tnepeoyecet thr nae ima arty pe sua ST we |  irae Seg nant fre Scevtnamsemamint eR ean nt Ds | tate te aban 08) un Waray oe te | am = cheat om     't- Shalow Canopy Intel Dever IM ene one teston    ep ae                                           (a Pr -Pover Cony = Tay PS has ae                                    SC Stall Canopy with decorative box cove Integral Dever      , See P  DPC - Power Carapy with decorative Joe cover             ae |                       Cole Temperature 8 CR oa ome Feansf01 a Optic &Ditibuton ca ome Fear 0)      === ek eno CS {2P0 9 CHE] ero +e rn so aT er: ne HT       ow Yo Use Lumen Muipirs epi FV Oem ANION (ssa 2 ed ed mes   "
https://www.signify.com/api/assets/v1/file/Signify/content/cbd5621f152243918593ab840107e6c6/D2L.pdf,lighting,"DP A) LIGHTOLIER Peery   Pe cay   ay space withthe Micro Vetro   Compt hina Frame +m or re tr pan) + Itaatn Aceon raqued) =              =                scans pane Q-  D2L Micro Vetro Accessory Round & Square decorative elements for Calculite LED 1.75""                             "
